Continent,Country,GCAM_basin_ID,WHYClass,Basin_long_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,desal
As,Afghanistan,52,10,Caspian_Sea_East_Coast,GLU052,CaspianE,TKM,795,Turkmenistan,1
As,Afghanistan,58,10,Amu_Darya,GLU058,AmuDaryaR,UZB,860,Uzbekistan,0
As,Afghanistan,97,20,Helmand,GLU097,Helmand,AFG,4,Afghanistan,0
As,Afghanistan,52,20,Caspian_Sea_East_Coast,GLU052,CaspianE,TKM,795,Turkmenistan,1
As,Afghanistan,58,20,Amu_Darya,GLU058,AmuDaryaR,UZB,860,Uzbekistan,0
As,Afghanistan,89,20,Indus,GLU089,IndusR,PAK,586,Pakistan,1
As,Afghanistan,97,30,Helmand,GLU097,Helmand,AFG,4,Afghanistan,0
As,Afghanistan,102,30,HamuniMashkel,GLU102,HamuMashR,PAK,586,Pakistan,0
As,Afghanistan,90,30,Farahrud,GLU090,FarahrudR,AFG,4,Afghanistan,0
As,Afghanistan,89,30,Indus,GLU089,IndusR,PAK,586,Pakistan,1
As,Afghanistan,52,30,Caspian_Sea_East_Coast,GLU052,CaspianE,TKM,795,Turkmenistan,1
As,Afghanistan,58,30,Amu_Darya,GLU058,AmuDaryaR,UZB,860,Uzbekistan,0
As,Afghanistan,85,30,Tarim_Interior,GLU085,Tarim,CHN,156,China,0
Eu,Albania,55,20,Adriatic_Sea_Greece_Black_Sea_Coast,GLU055,AdrBlkSea,GRC,300,Greece,1
Eu,Albania,54,20,Danube,GLU054,DanubeR,ROM,642,Romania,0
Af,Algeria,149,10,Niger,GLU149,NigerR,MLI,466,Mali,1
Af,Algeria,149,30,Niger,GLU149,NigerR,MLI,466,Mali,1
Af,Algeria,144,30,Africa_North_Interior,GLU144,AfrIntN,DZA,12,Algeria,0
Af,Algeria,144,10,Africa_North_Interior,GLU144,AfrIntN,DZA,12,Algeria,0
Af,Algeria,151,30,Lake_Chad,GLU151,LChad,TCD,148,Chad,0
Af,Algeria,151,10,Lake_Chad,GLU151,LChad,TCD,148,Chad,0
Af,Algeria,86,30,Africa_North_West_Coast,GLU086,AfrCstNW,MAR,504,Morocco,1
Af,Algeria,144,20,Africa_North_Interior,GLU144,AfrIntN,DZA,12,Algeria,0
Af,Algeria,80,20,Mediterranean_South_Coast,GLU080,MeditS,LBY,434,Libyan Arab Jamahiriya,1
Af,Algeria,80,10,Mediterranean_South_Coast,GLU080,MeditS,LBY,434,Libyan Arab Jamahiriya,1
Eu,Andorra,64,30,Gironde,GLU064,Gironde,FRA,250,France,0
Eu,Andorra,73,30,Ebro,GLU073,EbroR,ESP,724,Spain,0
Af,Angola,197,10,Africa_South_Interior,GLU197,AfrIntS,BWA,72,Botswana,0
Af,Angola,188,10,Zambezi,GLU188,ZambeziR,ZMB,894,Zambia,0
Af,Angola,182,30,Angola_Coast,GLU182,AngolaCst,AGO,24,Angola,1
Af,Angola,182,10,Angola_Coast,GLU182,AngolaCst,AGO,24,Angola,1
Af,Angola,197,30,Africa_South_Interior,GLU197,AfrIntS,BWA,72,Botswana,0
Af,Angola,183,10,Congo,GLU183,CongoR,COD,180,"Congo, The Democratic Republic of the",0
Af,Angola,183,30,Congo,GLU183,CongoR,COD,180,"Congo, The Democratic Republic of the",0
Af,Angola,188,30,Zambezi,GLU188,ZambeziR,ZMB,894,Zambia,0
Af,Angola,162,10,Gulf_of_Guinea,GLU162,GuineaGulf,GAB,266,Gabon,1
Af,Angola,162,30,Gulf_of_Guinea,GLU162,GuineaGulf,GAB,266,Gabon,1
"NAm",Anguilla,101,20,Caribbean,GLU101,Caribbean,CUB,192,Cuba,1
"NAm",Antigua and Barbuda,101,20,Caribbean,GLU101,Caribbean,CUB,192,Cuba,1
SA,Argentina,169,10,South_Chile_Pacific_Coast,GLU169,ChileCstS,CHL,152,Chile,1
SA,Argentina,169,30,South_Chile_Pacific_Coast,GLU169,ChileCstS,CHL,152,Chile,1
SA,Argentina,215,30,South_Argentina_South_Atlantic_Coast,GLU215,ArgCstS,ARG,32,Argentina,1
SA,Argentina,215,10,South_Argentina_South_Atlantic_Coast,GLU215,ArgCstS,ARG,32,Argentina,1
SA,Argentina,215,20,South_Argentina_South_Atlantic_Coast,GLU215,ArgCstS,ARG,32,Argentina,1
SA,Argentina,169,20,South_Chile_Pacific_Coast,GLU169,ChileCstS,CHL,152,Chile,1
SA,Argentina,214,20,Central_Patagonia_Highlands,GLU214,Patagonia,ARG,32,Argentina,0
SA,Argentina,214,30,Central_Patagonia_Highlands,GLU214,Patagonia,ARG,32,Argentina,0
SA,Argentina,213,30,Negro,GLU213,NegroR,ARG,32,Argentina,0
SA,Argentina,213,20,Negro,GLU213,NegroR,ARG,32,Argentina,0
SA,Argentina,214,10,Central_Patagonia_Highlands,GLU214,Patagonia,ARG,32,Argentina,0
SA,Argentina,213,10,Negro,GLU213,NegroR,ARG,32,Argentina,0
SA,Argentina,212,10,South_America_Colorado,GLU212,ArgColoR,ARG,32,Argentina,1
SA,Argentina,210,10,North_Argentina_South_Atlantic_Coast,GLU210,ArgCstN,ARG,32,Argentina,1
SA,Argentina,210,30,North_Argentina_South_Atlantic_Coast,GLU210,ArgCstN,ARG,32,Argentina,1
SA,Argentina,212,20,South_America_Colorado,GLU212,ArgColoR,ARG,32,Argentina,1
SA,Argentina,209,10,Pampas_Region,GLU209,Pampas,ARG,32,Argentina,1
SA,Argentina,209,30,Pampas_Region,GLU209,Pampas,ARG,32,Argentina,1
SA,Argentina,212,30,South_America_Colorado,GLU212,ArgColoR,ARG,32,Argentina,1
SA,Argentina,206,10,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
SA,Argentina,207,30,North_Chile_Pacific_Coast,GLU207,ChileCstN,CHL,152,Chile,1
SA,Argentina,206,30,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
SA,Argentina,205,10,Salinas_Grandes,GLU205,Salinas,ARG,32,Argentina,1
SA,Argentina,205,30,Salinas_Grandes,GLU205,Salinas,ARG,32,Argentina,1
SA,Argentina,203,30,Mar_Chiquita,GLU203,MarChiq,ARG,32,Argentina,1
SA,Argentina,203,10,Mar_Chiquita,GLU203,MarChiq,ARG,32,Argentina,1
SA,Argentina,206,20,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
SA,Argentina,200,30,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,1
SA,Argentina,200,20,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,1
As,Armenia,72,20,Caspian_Sea_South_West_Coast,GLU072,CaspianSW,IRN,364,"Iran, Islamic Republic of",1
Au,Australia,211,20,Tasmania,GLU211,Tasmania,AUS,36,Australia,0
Au,Australia,211,10,Tasmania,GLU211,Tasmania,AUS,36,Australia,0
Au,Australia,189,20,Australia_East_Coast,GLU189,AusCstE,AUS,36,Australia,1
Au,Australia,189,10,Australia_East_Coast,GLU189,AusCstE,AUS,36,Australia,1
Au,Australia,208,20,Murray_Darling,GLU208,MurrayDrlg,AUS,36,Australia,1
Au,Australia,208,10,Murray_Darling,GLU208,MurrayDrlg,AUS,36,Australia,1
Au,Australia,202,30,Australia_South_Coast,GLU202,AusCstS,AUS,36,Australia,1
Au,Australia,202,20,Australia_South_Coast,GLU202,AusCstS,AUS,36,Australia,1
Au,Australia,191,30,Australia_West_Coast,GLU191,AusCstW,AUS,36,Australia,1
Au,Australia,191,10,Australia_West_Coast,GLU191,AusCstW,AUS,36,Australia,1
Au,Australia,202,10,Australia_South_Coast,GLU202,AusCstS,AUS,36,Australia,1
Au,Australia,208,30,Murray_Darling,GLU208,MurrayDrlg,AUS,36,Australia,1
Au,Australia,193,30,Australia_Interior,GLU193,AusInt,AUS,36,Australia,0
Au,Australia,193,20,Australia_Interior,GLU193,AusInt,AUS,36,Australia,0
Au,Australia,193,10,Australia_Interior,GLU193,AusInt,AUS,36,Australia,0
Au,Australia,184,30,Australia_North_Coast,GLU184,AusCstN,AUS,36,Australia,1
Au,Australia,184,20,Australia_North_Coast,GLU184,AusCstN,AUS,36,Australia,1
Au,Australia,184,10,Australia_North_Coast,GLU184,AusCstN,AUS,36,Australia,1
Au,Australia,191,20,Australia_West_Coast,GLU191,AusCstW,AUS,36,Australia,1
Eu,Austria,50,30,Italy_East_Coast,GLU050,ItalyCstE,ITA,380,Italy,1
Eu,Austria,54,30,Danube,GLU054,DanubeR,ROM,642,Romania,0
Eu,Austria,54,20,Danube,GLU054,DanubeR,ROM,642,Romania,0
Eu,Austria,55,20,Adriatic_Sea_Greece_Black_Sea_Coast,GLU055,AdrBlkSea,GRC,300,Greece,1
Eu,Austria,54,10,Danube,GLU054,DanubeR,ROM,642,Romania,0
Eu,Austria,50,20,Italy_East_Coast,GLU050,ItalyCstE,ITA,380,Italy,1
Eu,Austria,31,30,Elbe,GLU031,ElbeR,DEU,276,Germany,0
As,Azerbaijan,45,20,Caspian_Sea_Coast,GLU045,CaspianNE,KAZ,398,Kazakhstan,1
As,Azerbaijan,72,20,Caspian_Sea_South_West_Coast,GLU072,CaspianSW,IRN,364,"Iran, Islamic Republic of",1
"NAm",Bahamas,101,20,Caribbean,GLU101,Caribbean,CUB,192,Cuba,1
As,Bahrain,94,10,Arabian_Peninsula,GLU094,ArabianP,SAU,682,Saudi Arabia,1
As,Bangladesh,110,10,Ganges_Bramaputra,GLU110,GangesR,IND,356,India,0
As,Bangladesh,116,10,Bay_of_Bengal_North_East_Coast,GLU116,BengalBay,MMR,104,Myanmar,1
As,Bangladesh,116,30,Bay_of_Bengal_North_East_Coast,GLU116,BengalBay,MMR,104,Myanmar,1
As,Bangladesh,110,30,Ganges_Bramaputra,GLU110,GangesR,IND,356,India,0
"NAm",Barbados,101,20,Caribbean,GLU101,Caribbean,CUB,192,Cuba,1
Eu,Belarus,30,10,Wisla,GLU030,WislaR,POL,616,Poland,0
Eu,Belarus,39,10,Dnieper,GLU039,DnieperR,UKR,804,Ukraine,0
Eu,Belarus,39,20,Dnieper,GLU039,DnieperR,UKR,804,Ukraine,0
Eu,Belarus,35,10,Neman,GLU035,NemanR,LTU,440,Lithuania,0
Eu,Belarus,25,10,Daugava,GLU025,DaugavaR,BLR,112,Belarus,0
Eu,Belarus,22,10,Narva,GLU022,NarvaR,RUS,643,Russian Federation,0
Eu,Belarus,17,10,Neva,GLU017,NevaR,RUS,643,Russian Federation,0
Eu,Belgium,32,10,Rhine,GLU032,RhineR,DEU,276,Germany,0
Eu,Belgium,32,30,Rhine,GLU032,RhineR,DEU,276,Germany,0
Eu,Belgium,46,30,Seine,GLU046,SeineR,FRA,250,France,0
Eu,Belgium,36,10,Scheldt,GLU036,ScheldtR,BEL,56,Belgium,0
Eu,Belgium,36,30,Scheldt,GLU036,ScheldtR,BEL,56,Belgium,0
"NAm",Belize,111,20,Yucatan_Peninsula,GLU111,YucatanP,MEX,484,Mexico,0
"NAm",Belize,111,10,Yucatan_Peninsula,GLU111,YucatanP,MEX,484,Mexico,0
Af,Benin,142,10,Africa_West_Coast,GLU142,AfrCstW,CIV,384,Cote dIvoire,1
Af,Benin,142,30,Africa_West_Coast,GLU142,AfrCstW,CIV,384,Cote dIvoire,1
Af,Benin,160,30,Volta,GLU160,VoltaR,BFA,854,Burkina Faso,0
Af,Benin,149,30,Niger,GLU149,NigerR,MLI,466,Mali,1
Af,Benin,149,10,Niger,GLU149,NigerR,MLI,466,Mali,1
As,Bhutan,110,10,Ganges_Bramaputra,GLU110,GangesR,IND,356,India,0
As,Bhutan,110,20,Ganges_Bramaputra,GLU110,GangesR,IND,356,India,0
As,Bhutan,110,30,Ganges_Bramaputra,GLU110,GangesR,IND,356,India,0
SA,Bolivia,206,20,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
SA,Bolivia,200,30,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,1
SA,Bolivia,206,30,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
SA,Bolivia,200,20,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,1
SA,Bolivia,207,20,North_Chile_Pacific_Coast,GLU207,ChileCstN,CHL,152,Chile,1
SA,Bolivia,206,10,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
SA,Bolivia,200,10,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,1
SA,Bolivia,168,20,Amazon,GLU168,AmazonR,BRA,76,Brazil,0
