GCAM_region_ID,GCAM_basin_ID,region,Basin_long_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,desal,is_unlimited
13,1,EU-15,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland,0,FALSE
16,1,European Free Trade Association,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland,0,FALSE
23,1,Russia,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland,0,TRUE
8,2,Canada,Northwest_Territories,GLU002,NWTerr,CAN,124,Canada,0,TRUE
23,3,Russia,Siberia_North_Coast,GLU003,SiberiaN,RUS,643,Russian Federation,0,TRUE
23,4,Russia,Siberia_West_Coast,GLU004,SiberiaW,RUS,643,Russian Federation,0,TRUE
23,5,Russia,Kara_Sea_Coast,GLU005,KaraSea,RUS,643,Russian Federation,0,TRUE
23,6,Russia,Lena,GLU006,LenaR,RUS,643,Russian Federation,0,TRUE
1,7,USA,Pacific_and_Arctic_Coast,GLU007,PacArctic,USA,840,United States,1,FALSE
8,7,Canada,Pacific_and_Arctic_Coast,GLU007,PacArctic,USA,840,United States,1,TRUE
13,8,EU-15,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway,1,FALSE
16,8,European Free Trade Association,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway,1,FALSE
23,8,Russia,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway,1,TRUE
23,9,Russia,Russia_Barents_Sea_Coast,GLU009,BarentsSea,RUS,643,Russian Federation,0,TRUE
8,10,Canada,Mackenzie,GLU010,Mackenzie,CAN,124,Canada,1,TRUE
16,11,European Free Trade Association,Iceland,GLU011,Iceland,ISL,352,Iceland,0,TRUE
13,12,EU-15,Sweden,GLU012,Sweden,SWE,752,Sweden,1,FALSE
16,12,European Free Trade Association,Sweden,GLU012,Sweden,SWE,752,Sweden,1,TRUE
13,13,EU-15,Finland,GLU013,Finland,FIN,246,Finland,1,FALSE
23,13,Russia,Finland,GLU013,Finland,FIN,246,Finland,1,TRUE
23,14,Russia,Northern_Dvina,GLU014,DvinaRN,RUS,643,Russian Federation,0,TRUE
8,15,Canada,Hudson_Bay_Coast,GLU015,HudsonBay,CAN,124,Canada,0,TRUE
13,16,EU-15,Scotland,GLU016,Scotland,GBR,826,United Kingdom,1,TRUE
13,17,EU-15,Neva,GLU017,NevaR,RUS,643,Russian Federation,0,FALSE
14,17,Europe_Eastern,Neva,GLU017,NevaR,RUS,643,Russian Federation,0,FALSE
23,17,Russia,Neva,GLU017,NevaR,RUS,643,Russian Federation,0,TRUE
10,18,Central Asia,Volga,GLU018,VolgaR,RUS,643,Russian Federation,0,FALSE
23,18,Russia,Volga,GLU018,VolgaR,RUS,643,Russian Federation,0,TRUE
8,19,Canada,Atlantic_Ocean_Seaboard,GLU019,CanAtl,CAN,124,Canada,0,TRUE
12,20,EU-12,Baltic_Sea_Coast,GLU020,BalticSea,LVA,428,Latvia,0,FALSE
23,20,Russia,Baltic_Sea_Coast,GLU020,BalticSea,LVA,428,Latvia,0,TRUE
12,21,EU-12,Denmark_Germany_Coast,GLU021,DnkGrmCst,DNK,208,Denmark,1,FALSE
13,21,EU-15,Denmark_Germany_Coast,GLU021,DnkGrmCst,DNK,208,Denmark,1,TRUE
12,22,EU-12,Narva,GLU022,NarvaR,RUS,643,Russian Federation,0,FALSE
23,22,Russia,Narva,GLU022,NarvaR,RUS,643,Russian Federation,0,TRUE
1,23,USA,Saskatchewan_Nelson,GLU023,NelsonR,CAN,124,Canada,1,FALSE
8,23,Canada,Saskatchewan_Nelson,GLU023,NelsonR,CAN,124,Canada,1,TRUE
13,24,EU-15,Ireland,GLU024,Ireland,IRL,372,Ireland,1,TRUE
