year_number,depletion_limit,continent,country,gcam_basin_id,Basin_long_name,grid_id,grid_area,permeability,porosity,total_thickness,depth_to_water,orig_aqfr_sat_thickness,aqfr_sat_thickness,hydraulic_conductivity,transmissivity,radius_of_influence,areal_extent,max_drawdown,drawdown,drawdown_interference,total_head,well_yield,volume_produced_perwell,cumulative_vol_produced_perwell,number_of_wells,volume_produced_allwells,cumulative_vol_produced_allwells,available_volume,depleted_vol_fraction,well_installation_cost, annual_capital_cost,maintenance_cost,nonenergy_cost,power,energy,energy_cost_rate,energy_cost,total_cost_perwell,total_cost_allwells,unit_cost,unit_cost_per_km3,unit_cost_per_acreft,whyclass,total_well_length
1, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 36.9166666667, 238.11666666629998, 200.0, 2.113489078281905e-06, 0.000422697815656381, 480.987654964151, 726804.7090888444, Max_Drawdown, 80.21264273816915, 0.0, 117.12930940486916, 0.025236274621140427, 218041.41272665327, 218041.41272665327, 3414.930991588557, 744596377.7699999, 744596377.7699999, 153906956080.24225, 0.004837964421710678, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 141319.07791550233, 339165786.9972056, 0.061, 20689113.00682954, 9701.169761354267, 33128825.272710454, 0.04449232666418328, 44492326.66418328, 54.880395093736794, 10, 236.9166666667
2, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 38.068666628247904, 238.11666666629998, 198.84800003845208, 2.113489078281905e-06, 0.0004202630763194683, 480.987654964151, 726804.7090888444, Max_Drawdown, 80.94755049960078, 0.0, 119.01621712784868, 0.025236274621140427, 218041.41272665327, 436082.82545330655, 3414.930991588557, 744596377.7699999, 1489192755.5399997, 153906956080.24225, 0.009675928843421356, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 143595.67342245084, 344629616.213882, 0.061, 21022406.589046802, 9798.768682983493, 33462118.85492772, 0.044939943107356765, 44939943.107356764, 55.432521024062424, 10, 236.9166666667
3, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 39.220666589795805, 238.11666666629998, 197.6960000769042, 2.113489078281905e-06, 0.00041782833698255565, 480.987654964151, 726804.7090888444, Max_Drawdown, 81.70143539738241, 0.0, 120.92210198717822, 0.025236274621140427, 218041.41272665327, 654124.2381799598, 3414.930991588557, 744596377.7699999, 2233789133.3099995, 153906956080.24225, 0.014513893265132033, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 145895.16526016477, 350148396.62439543, 0.061, 21359052.19408812, 9897.349183107952, 33798764.45996903, 0.04539206134898659, 45392061.34898659, 55.990199832747976, 10, 236.9166666667
4, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 40.372666551343706, 238.11666666629998, 196.54400011535628, 2.113489078281905e-06, 0.000415393597645643, 480.987654964151, 726804.7090888444, Max_Drawdown, 82.47524538166769, 0.0, 122.8479119330114, 0.025236274621140427, 218041.41272665327, 872165.6509066131, 3414.930991588557, 744596377.7699999, 2978385511.0799994, 153906956080.24225, 0.01935185768684271, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 148218.69715127262, 355724873.1630543, 0.061, 21699217.26294631, 9996.960293755887, 34138929.52882722, 0.0458489062639148, 45848906.2639148, 56.55370889841363, 10, 236.9166666667
5, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 41.524666512891606, 238.11666666629998, 195.3920001538084, 2.113489078281905e-06, 0.00041295885830873035, 480.987654964151, 726804.7090888444, Max_Drawdown, 83.270003765702, 0.0, 124.7946702785936, 0.025236274621140427, 218041.41272665327, 1090207.0636332664, 3414.930991588557, 744596377.7699999, 3722981888.8499994, 153906956080.24225, 0.024189822108553388, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 150567.50374562404, 361362008.9894977, 0.061, 22043082.54835936, 10097.654945056322, 34482794.81424028, 0.04631072060478348, 46310720.60478348, 57.123347651588325, 10, 236.9166666667
6, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 42.67666647443951, 238.11666666629998, 194.24000019226048, 2.113489078281905e-06, 0.00041052411897181764, 480.987654964151, 726804.7090888444, Max_Drawdown, 84.08681771433753, 0.0, 126.76348418877703, 0.025236274621140427, 218041.41272665327, 1308248.4763599196, 3414.930991588557, 744596377.7699999, 4467578266.619999, 153906956080.24225, 0.029027786530264065, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 152942.92086186953, 367063010.06848687, 0.061, 22390843.6141777, 10199.490404301301, 34830555.88005862, 0.046777767015699225, 46777767.01569922, 57.69944005852468, 10, 236.9166666667
7, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 43.82866643598741, 238.11666666629998, 193.0880002307126, 2.113489078281905e-06, 0.00040808937963490504, 480.987654964151, 726804.7090888444, Max_Drawdown, 84.92688799393744, 0.0, 128.75555442992484, 0.025236274621140427, 218041.41272665327, 1526289.889086573, 3414.930991588557, 744596377.7699999, 5212174644.389998, 153906956080.24225, 0.03386575095197474, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 155346.39725093305, 372831353.4022393, 0.061, 22742712.5575366, 10302.528780252558, 35182424.823417515, 0.04725033034512706, 47250330.34512706, 58.28233747410732, 10, 236.9166666667
8, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 44.98066639753531, 238.11666666629998, 191.93600026916468, 2.113489078281905e-06, 0.00040565464029799234, 480.987654964151, 726804.7090888444, Max_Drawdown, 85.79152021989228, 0.0, 130.7721866174276, 0.025236274621140427, 218041.41272665327, 1744331.3018132262, 3414.930991588557, 744596377.7699999, 5956771022.159998, 153906956080.24225, 0.038703715373685416, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 157779.5081663874, 378670819.5993297, 0.061, 23098919.99555911, 10406.837604911065, 35538632.261440024, 0.04772872031405132, 47728720.31405132, 58.872421932976025, 10, 236.9166666667
9, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 46.13266635908321, 238.11666666629998, 190.7840003076168, 2.113489078281905e-06, 0.0004032199009610797, 480.987654964151, 726804.7090888444, Max_Drawdown, 86.68213789201604, 0.0, 132.81480425109925, 0.025236274621140427, 218041.41272665327, 1962372.7145398795, 3414.930991588557, 744596377.7699999, 6701367399.929997, 153906956080.24225, 0.04354167979539609, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 160243.97109194458, 384585530.620667, 0.061, 23459717.367860686, 10512.490507763354, 35899429.6337416, 0.048213274608261206, 48213274.608261205, 59.47010996379803, 10, 236.9166666667
10, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 47.28466632063111, 238.11666666629998, 189.63200034606888, 2.113489078281905e-06, 0.000400785161624167, 480.987654964151, 726804.7090888444, Max_Drawdown, 87.60029757691132, 0.0, 134.88496389754243, 0.025236274621140427, 218041.41272665327, 2180414.1272665327, 3414.930991588557, 744596377.7699999, 7445963777.699997, 153906956080.24225, 0.04837964421710677, 19432.141300686068, 7794552.756636054, 4645159.509244858, 12439712.265880913, 162741.66405931275, 390579993.7423506, 0.061, 23825379.618283384, 10619.568001078262, 36265091.884164296, 0.04870436247994522, 48704362.47994522, 60.07585703176283, 10, 236.9166666667
