year_number,depletion_limit,continent,country,gcam_basin_id,Basin_long_name,grid_id,grid_area,permeability,porosity,total_thickness,depth_to_water,orig_aqfr_sat_thickness,aqfr_sat_thickness,hydraulic_conductivity,transmissivity,radius_of_influence,areal_extent,max_drawdown,drawdown,drawdown_interference,total_head,well_yield,volume_produced_perwell,cumulative_vol_produced_perwell,number_of_wells,volume_produced_allwells,cumulative_vol_produced_allwells,available_volume,depleted_vol_fraction,well_installation_cost, annual_capital_cost,maintenance_cost,nonenergy_cost,power,energy,energy_cost_rate,energy_cost,total_cost_perwell,total_cost_allwells,unit_cost,unit_cost_per_km3,unit_cost_per_acreft,whyclass,total_well_length
1, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 31.122085062032177, 257.40645908164663, 200.0, 7.679310891610383e-07, 0.00015358621783220766, 294.5435818100055, 272551.7659083166, Max_Drawdown, 82.43403790042991, 0.0, 113.5561229624621, 0.00946360298292766, 81765.52977249498, 81765.52977249498, 4477.581035268434, 366111785.448, 366111785.448, 34554497885.12425, 0.01059519911604942, 18956.86393795552, 9970078.01324835, 5941662.61197276, 15911740.62522111, 67365.65844545774, 161677580.26909858, 0.074, 11964140.939913295, 6225.6565197961245, 27875881.565134406, 0.07614035568678437, 76140355.68678437, 93.91760593253478, 10, 231.12208506203217
2, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 33.84935774975945, 257.40645908164663, 197.2727273122727, 7.679310891610383e-07, 0.0001514918603466821, 294.5435818100055, 272551.7659083166, Max_Drawdown, 84.28948094403665, 0.0, 118.1388386937961, 0.00946360298292766, 81765.52977249498, 163531.05954498996, 4477.581035268434, 366111785.448, 732223570.896, 34554497885.12425, 0.02119039823209884, 18956.86393795552, 9970078.01324835, 5941662.61197276, 15911740.62522111, 70084.29355429923, 168202304.53031817, 0.074, 12446970.535243545, 6333.489207027726, 28358711.160464656, 0.07745915943613492, 77459159.43613492, 95.5443239812837, 10, 231.12208506203217
3, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 36.57663043748672, 257.40645908164663, 194.54545462454544, 7.679310891610383e-07, 0.00014939750286115653, 294.5435818100055, 272551.7659083166, Max_Drawdown, 86.26838683422146, 0.0, 122.84501727170817, 0.00946360298292766, 81765.52977249498, 245296.58931748493, 4477.581035268434, 366111785.448, 1098335356.344, 34554497885.12425, 0.03178559734814826, 18956.86393795552, 9970078.01324835, 5941662.61197276, 15911740.62522111, 72876.17135350656, 174902811.24841577, 0.074, 12942808.032382766, 6444.227012381481, 28854548.657603875, 0.07881349304911184, 78813493.04911184, 97.21486740621847, 10, 231.12208506203217
4, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 39.30390312521399, 257.40645908164663, 191.81818193681818, 7.679310891610383e-07, 0.000147303145375631, 294.5435818100055, 272551.7659083166, Max_Drawdown, 88.38755601564475, 0.0, 127.69145914085874, 0.00946360298292766, 81765.52977249498, 327062.1190899799, 4477.581035268434, 366111785.448, 1464447141.792, 34554497885.12425, 0.04238079646419768, 18956.86393795552, 9970078.01324835, 5941662.61197276, 15911740.62522111, 75751.25848325023, 181803020.35980055, 0.074, 13453423.50662524, 6558.265255401658, 29365164.131846353, 0.08020819132034518, 80208191.32034518, 98.93519982981937, 10, 231.12208506203217
5, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 42.031175812941264, 257.40645908164663, 189.0909092490909, 7.679310891610383e-07, 0.00014520878789010545, 294.5435818100055, 272551.7659083166, Max_Drawdown, 90.66765026941025, 0.0, 132.6988260823515, 0.00946360298292766, 81765.52977249498, 408827.6488624749, 4477.581035268434, 366111785.448, 1830558927.24, 34554497885.12425, 0.0529759955802471, 18956.86393795552, 9970078.01324835, 5941662.61197276, 15911740.62522111, 78721.81227014895, 188932349.44835746, 0.074, 13980993.859178452, 6676.09011404692, 29892734.484399565, 0.08164920025128587, 81649200.25128587, 100.7126555259561, 10, 231.12208506203217
6, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 44.758448500668536, 257.40645908164663, 186.36363656136365, 7.679310891610383e-07, 0.00014311443040457988, 294.5435818100055, 272551.7659083166, Max_Drawdown, 93.13453423567121, 0.0, 137.89298273633975, 0.00946360298292766, 81765.52977249498, 490593.17863496987, 4477.581035268434, 366111785.448, 2196670712.688, 34554497885.12425, 0.06357119469629652, 18956.86393795552, 9970078.01324835, 5941662.61197276, 15911740.62522111, 81803.17656769932, 196327623.76247838, 0.074, 14528244.1584234, 6798.310191123011, 30439984.783644516, 0.08314396311060028, 83143963.11060028, 102.55641561766323, 10, 231.12208506203217
7, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 47.48572118839581, 257.40645908164663, 233.63636387363636, 7.679310891610383e-07, 0.00017941662737710624, 294.5435818100055, 272551.7659083166, Max_Drawdown, 65.99741100238589, 0.0, 113.4831321907817, 0.00946360298292766, 81765.52977249498, 572358.7084074649, 4477.581035268434, 366111785.448, 2562782498.136, 34554497885.12425, 0.07416639381234594, 23057.91380795552, 12126963.628608827, 5941662.61197276, 18068626.240581587, 67322.35764171052, 161573658.34010527, 0.074, 11956450.71716779, 6705.64680376563, 30025076.95774937, 0.08201068130327623, 82010681.30327623, 101.15853517396516, 10, 281.12208506203217
8, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 50.21299387612308, 257.40645908164663, 230.9090911859091, 7.679310891610383e-07, 0.00017732226989158068, 294.5435818100055, 272551.7659083166, Max_Drawdown, 67.02222140299551, 0.0, 117.23521527911859, 0.00946360298292766, 81765.52977249498, 654124.2381799598, 4477.581035268434, 366111785.448, 2928894283.584, 34554497885.12425, 0.08476159292839536, 23057.91380795552, 16440734.859329777, 7227057.430554906, 23667792.289884683, 69548.23099132671, 166915754.3791841, 0.074, 12351765.824059622, 8044.423502384455, 36019558.11394431, 0.09838404428818989, 98384044.28818989, 121.35475094859648, 10, 281.12208506203217
9, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 52.94026656385035, 257.40645908164663, 228.18181849818183, 7.679310891610383e-07, 0.00017522791240605514, 294.5435818100055, 272551.7659083166, Max_Drawdown, 68.08764835560088, 0.0, 121.02791491945123, 0.00946360298292766, 81765.52977249498, 735889.7679524547, 4477.581035268434, 366111785.448, 3295006069.032, 34554497885.12425, 0.09535679204444478, 23057.91380795552, 16440734.859329777, 7227057.430554906, 23667792.289884683, 71798.199569783, 172315678.9674792, 0.074, 12751360.24359346, 8133.6668720490925, 36419152.53347814, 0.09947549896246338, 99475498.96246338, 122.70103846021934, 10, 281.12208506203217
10, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 55.66753925157762, 257.40645908164663, 225.45454581045453, 7.679310891610383e-07, 0.00017313355492052957, 294.5435818100055, 272551.7659083166, Max_Drawdown, 69.19662831700738, 0.0, 124.864167568585, 0.00946360298292766, 81765.52977249498, 817655.2977249497, 4477.581035268434, 366111785.448, 3661117854.48, 34554497885.12425, 0.1059519911604942, 23057.91380795552, 16440734.859329777, 7227057.430554906, 23667792.289884683, 74074.00539099314, 177777612.93838355, 0.074, 13155543.357440382, 8223.935057183724, 36823335.64732507, 0.10057948722482522, 100579487.22482522, 124.06278590207742, 10, 281.12208506203217
11, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 58.394811939304894, 257.40645908164663, 222.72727312272727, 7.679310891610383e-07, 0.000171039197435004, 294.5435818100055, 272551.7659083166, Max_Drawdown, 70.35242839705326, 0.0, 128.74724033635815, 0.00946360298292766, 81765.52977249498, 899420.8274974446, 4477.581035268434, 366111785.448, 4027229639.928, 34554497885.12425, 0.11654719027654362, 23057.91380795552, 16440734.859329777, 7227057.430554906, 23667792.289884683, 76377.58662438148, 183306207.89851555, 0.074, 13564659.384490151, 8315.304933871, 37232451.67437483, 0.10169694927688439, 101696949.27688439, 125.44115299405135, 10, 281.12208506203217
12, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 61.122084627032166, 257.40645908164663, 220.000000435, 7.679310891610383e-07, 0.00016894483994947846, 294.5435818100055, 272551.7659083166, Max_Drawdown, 71.55869902667867, 0.0, 132.68078365371082, 0.00946360298292766, 81765.52977249498, 981186.3572699395, 4477.581035268434, 366111785.448, 4393341425.376, 34554497885.12425, 0.12714238939259304, 23057.91380795552, 16440734.859329777, 7227057.430554906, 23667792.289884683, 78711.10883951369, 188906661.21483284, 0.074, 13979092.929897629, 8407.86239785504, 37646885.21978231, 0.10282893563154473, 102828935.63154472, 126.83743552279779, 10, 281.12208506203217
13, 0.25, USA, USA, 1, USA, 1, 1220372618.16, -13.114677749942253, 0.110000001595, 288.5285441436788, 63.84935731475944, 257.40645908164663, 217.27272774727274, 7.679310891610383e-07, 0.00016685048246395292, 294.5435818100055, 272551.7659083166, Max_Drawdown, 72.81953777643582, 0.0, 136.66889509119525, 0.00946360298292766, 81765.52977249498, 1062951.8870424344, 4477.581035268434, 366111785.448, 4759453210.824, 34554497885.12425, 0.13773758850864246, 23057.91380795552, 16440734.859329777, 7227057.430554906, 23667792.289884683, 81077.00286557879, 194584806.8773891, 0.074, 14399275.708926793, 8501.70386621028, 38067067.998811476, 0.10397662547855417, 103976625.47855417, 128.253087995287, 10, 281.12208506203217
