year_number,depletion_limit,continent,country,gcam_basin_id,Basin_long_name,grid_id,grid_area,lake_area,grid_area_dry,permeability,porosity,total_thickness,depth_to_water,orig_aqfr_sat_thickness,aqfr_sat_thickness,hydraulic_conductivity,transmissivity,radius_of_influence,areal_extent,drawdown,drawdown_interference,total_head,well_yield,recharge,shallow_recharge_depth,threshold_depth,net_ponded_depth_target,excessive_recharge_depth,deep_recharge_vol,deep_recharge_vol_imposed,volume_produced_perwell,cumulative_vol_produced_perwell,number_of_wells,volume_produced_allwells,cumulative_vol_produced_allwells,available_volume,depleted_vol_fraction,well_installation_cost, annual_capital_cost,maintenance_cost,nonenergy_cost,power,energy,energy_cost_rate,energy_cost,total_cost_perwell,total_cost_allwells,unit_cost,unit_cost_per_km3,unit_cost_per_acreft,whyclass,total_well_length
1, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 36.9166666667, 238.11666666629998, 200.0, 2.113489078281905e-06, 0.000422697815656381, 483.1497193304754, 733353.4439905321, 80.21264273816915, 0.0, 117.12930940486916, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 218041.41272665327, 3384.436176360336, 737947245.1768004, 737947245.1768004, 153906956080.24225, 0.004794762134026339, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 140057.12000775232, 336137088.0186056, 0.061, 20504362.36913494, 9701.169761354267, 32832989.89334035, 0.044492326664183277, 44492326.664183274, 54.88039509373679, 10, 236.9166666667
2, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 38.01723070456914, 238.11666666629998, 198.89943596213087, 2.113489078281905e-06, 0.00042037178558239477, 483.1497193304754, 733353.4439905321, 80.91433945654607, 0.0, 118.93157016111522, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 436082.82545330655, 3384.436176360336, 737947245.1768004, 1475894490.3536007, 153906956080.24225, 0.009589524268052678, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 142212.16943394078, 341309206.64145786, 0.061, 20819861.60512893, 9794.39038055155, 33148489.12933434, 0.044919862965803865, 44919862.96580386, 55.40775257105975, 10, 236.9166666667
3, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 39.11779474243827, 238.11666666629998, 197.79887192426173, 2.113489078281905e-06, 0.0004180457555084085, 483.1497193304754, 733353.4439905321, 81.63331892836628, 0.0, 120.75111367080456, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 654124.2381799598, 3384.436176360336, 737947245.1768004, 2213841735.530401, 153906956080.24225, 0.014384286402079017, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 144387.88467541814, 346530923.22100353, 0.061, 21138386.316481214, 9888.504937527721, 33467013.840686623, 0.0453514991206024, 45351499.1206024, 55.940167135280646, 10, 236.9166666667
4, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 40.218358780307405, 238.11666666629998, 196.6983078863926, 2.113489078281905e-06, 0.00041571972543442227, 483.1497193304754, 733353.4439905321, 82.37040348284181, 0.0, 122.58876226314922, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 872165.6509066131, 3384.436176360336, 737947245.1768004, 2951788980.7072015, 153906956080.24225, 0.019179048536105355, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 146585.2490305724, 351804597.67337376, 0.061, 21460080.4580758, 9983.555966659711, 33788707.98228121, 0.04578743020334194, 45787430.20334194, 56.47787940721821, 10, 236.9166666667
5, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 41.31892281817654, 238.11666666629998, 195.59774384852346, 2.113489078281905e-06, 0.000413393695360436, 483.1497193304754, 733353.4439905321, 83.12647762882918, 0.0, 124.44540044700571, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 1090207.0636332664, 3384.436176360336, 737947245.1768004, 3689736225.8840017, 153906956080.24225, 0.023973810670131695, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 148805.3201489679, 357132768.35752296, 0.061, 21785098.8698089, 10079.589218521069, 34113726.394014314, 0.04622786603917901, 46227866.039179005, 57.02114820200652, 10, 236.9166666667
6, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 42.41948685604567, 238.11666666629998, 194.49717981065433, 2.113489078281905e-06, 0.0004110676652864498, 483.1497193304754, 733353.4439905321, 83.90249470547582, 0.0, 126.32198156152148, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 1308248.4763599196, 3384.436176360336, 737947245.1768004, 4427683471.060802, 153906956080.24225, 0.028768572804158035, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 151049.23798384154, 362518171.1612197, 0.061, 22113608.440834403, 10176.654003881798, 34442235.96503982, 0.0466730327813447, 46673032.7813447, 57.57025247513306, 10, 236.9166666667
7, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 43.52005089391481, 238.11666666629998, 193.3966157727852, 2.113489078281905e-06, 0.00040874163521246353, 483.1497193304754, 733353.4439905321, 84.6994844697746, 0.0, 128.2195353636894, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 1526289.889086573, 3384.436176360336, 737947245.1768004, 5165630716.237603, 153906956080.24225, 0.03356333493818438, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 153318.23386490453, 367963761.27577084, 0.061, 22445789.43782202, 10274.803586169044, 34774416.96202743, 0.04712317471108119, 47123174.71108119, 58.125493542624426, 10, 236.9166666667
8, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 44.62061493178394, 238.11666666629998, 192.29605173491606, 2.113489078281905e-06, 0.0004064156051384773, 483.1497193304754, 733353.4439905321, 85.51856178706733, 0.0, 130.13917671885127, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 1744331.3018132262, 3384.436176360336, 737947245.1768004, 5903577961.414404, 153906956080.24225, 0.03835809707221072, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 155613.64088999343, 373472738.13598424, 0.061, 22781837.02629504, 10374.095630977055, 35110464.55050045, 0.04757855629922237, 47578556.29922237, 58.68719762396481, 10, 236.9166666667
9, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 45.721178969653074, 238.11666666629998, 191.19548769704693, 2.113489078281905e-06, 0.00040408957506449103, 483.1497193304754, 733353.4439905321, 86.36093662641683, 0.0, 132.0821155960699, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 1962372.7145398795, 3384.436176360336, 737947245.1768004, 6641525206.591205, 153906956080.24225, 0.043152859206237064, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 157936.9058770149, 379048574.1048358, 0.061, 23121963.020394985, 10474.592723070462, 35450590.5446004, 0.04803946457731813, 48039464.577318124, 59.25571876683036, 10, 236.9166666667
10, 0.25, Au, Australia, 189, Australia_East_Coast, 72548, 2481987925.9, 0.0, 2481987925.9, -12.6749999921, 0.260416675359, 275.033333333, 46.82174300752221, 238.11666666629998, 190.0949236591778, 2.113489078281905e-06, 0.0004017635449905048, 483.1497193304754, 733353.4439905321, 87.2279256078971, 0.0, 134.0496686154193, 0.025236274621140427, 0.013394772238444, 0.0026789544476888, 0.22499999999999998, 0.2973210455523112, 0, 26596530.37279882, 26596530.37279882, 218041.41272665327, 2180414.1272665327, 3384.436176360336, 737947245.1768004, 7379472451.768005, 153906956080.24225, 0.047947621340263404, 19432.141300686068, 7724948.584052272, 4603678.9401531415, 12328627.524205413, 160289.603171593, 384695047.61182314, 0.061, 23466397.904321212, 10576.36296365944, 35795025.428526625, 0.048506211876908234, 48506211.876908235, 59.83144222592877, 10, 236.9166666667
